cod;nome;período;de-homens-por-armas-de-fogo;de-jovens-homens;de-jovens-mulheres;de-jovens-por-armas-de-fogo;de-jovens;de-mulheres-por-armas-de-fogo;homens-nao-negros;homens-negros;homens;homicidios;mulheres-nao-negras;mulheres-negras;mulheres;nao-negros;negros;por-armas-de-fogo
35;SP;2009;528.0;2692;248;1974.0;2940.0;235.0;3382.0;2385.0;5882.0;6557.0;413.0;230.0;660.0;3799.0;2618.0;3851
35;SP;2010;538.0;2389;281;1793.0;2671.0;232.0;2911.0;2219.0;5355.0;6039.0;424.0;223.0;678.0;3336.0;2442.0;3469
35;SP;2011;568.0;2304;201;1643.0;2505.0;192.0;2808.0;2293.0;5257.0;5842.0;380.0;179.0;580.0;3189.0;2473.0;3262
35;SP;2012;604.0;2657;218;1957.0;2875.0;205.0;3150.0;2627.0;5920.0;6566.0;370.0;257.0;640.0;3520.0;2885.0;3848
35;SP;2013;711.0;2338;214;1694.0;2552.0;174.0;2823.0;2459.0;5403.0;6035.0;401.0;215.0;620.0;3225.0;2676.0;3440
35;SP;2014;809.0;2542;209;1857.0;2751.0;199.0;2833.0;2612.0;5561.0;6185.0;371.0;227.0;612.0;3205.0;2840.0;3541
35;SP;2015;718.0;2164;169;1556.0;2333.0;175.0;2414.0;2336.0;4860.0;5427.0;349.0;201.0;559.0;2765.0;2537.0;3097
35;SP;2016;713.0;1860;157;1334.0;2017.0;156.0;2284.0;2017.0;4358.0;4870.0;302.0;200.0;507.0;2586.0;2219.0;2720
35;SP;2017;629.0;1798;157;1233.0;1955.0;163.0;2094.0;2002.0;4134.0;4631.0;321.0;166.0;495.0;2415.0;2168.0;2518
35;SP;2018;535.0;1322;139;959.0;1461.0;116.0;1642.0;1571.0;3269.0;3727.0;267.0;176.0;454.0;1909.0;1747.0;2009
35;SP;2019;457.0;1194;122;854.0;1316.0;118.0;1377.0;1535.0;2954.0;3361.0;249.0;149.0;405.0;1626.0;1684.0;1742
35;SP;2020;544.0;1131;127;822.0;1258.0;108.0;1453.0;1505.0;2998.0;3396.0;248.0;146.0;397.0;1701.0;1651.0;1785
35;SP;2021;498.0;1007;86;741.0;1093.0;92.0;1328.0;1373.0;2742.0;3094.0;209.0;131.0;342.0;1537.0;1505.0;1648
17;TO;1979;;0;0;;;;;;;;;;;;;0
17;TO;1980;;0;0;;;;;;;;;;;;;0
17;TO;1981;;0;0;;;;;;;;;;;;;0
17;TO;1982;;0;0;;;;;;;;;;;;;0
17;TO;1983;;0;0;;;;;;;;;;;;;0
17;TO;1984;;0;0;;;;;;;;;;;;;0
17;TO;1985;;0;0;;;;;;;;;;;;;0
17;TO;1986;;0;0;;;;;;;;;;;;;0
17;TO;1987;;0;0;;;;;;;;;;;;;0
17;TO;1988;;0;0;;;;;;;;;;;;;0
17;TO;1989;30.0;15;7;13.0;22.0;6.0;;;49.0;63.0;;;14.0;;;36
17;TO;1990;21.0;19;3;10.0;22.0;4.0;;;47.0;54.0;;;7.0;;;25
